,english_tokens,is_polarize,polarity
0,<unk>,False,Neu
1,<pad>,False,Neu
2,the,False,Neu
3,",",False,Neu
4,.,False,Neu
5,of,False,Neu
6,to,False,Neu
7,and,False,Neu
8,in,False,Neu
9,that,False,Neu
10,is,False,Neu
11,a,False,Neu
12,we,False,Neu
13,for,False,Neu
14,i,False,Neu
15,this,False,Neu
16,on,False,Neu
17,it,False,Neu
18,be,False,Neu
19,-,False,Neu
20,not,False,Neu
21,are,False,Neu
22,as,False,Neu
23,have,False,Neu
24,with,False,Neu
25,which,False,Neu
26,european,False,Neu
27,will,False,Neu
28,by,False,Neu
29,&,False,Neu
30,has,False,Neu
31,mr,False,Neu
32,at,False,Neu
33,commission,False,Neu
34,;,False,Neu
35,an,False,Neu
36,would,False,Neu
37,all,False,Neu
38,also,False,Neu
39,our,False,Neu
40,should,False,Neu
41,can,False,Neu
42,president,False,Neu
43,but,False,Neu
44,from,False,Neu
45,must,False,Neu
46,there,False,Neu
47,been,False,Neu
48,you,False,Neu
49,union,False,Neu
50,states,False,Neu
51,parliament,False,Neu
52,apos,False,Neu
53,more,False,Neu
54,member,False,Neu
55,was,False,Neu
56,or,False,Neu
57,these,False,Neu
58,they,False,Neu
59,its,False,Neu
60,do,False,Neu
61,what,False,Neu
62,report,False,Neu
63,council,False,Neu
64,like,True,Pos
65,their,False,Neu
66,one,False,Neu
67,if,False,Neu
68,europe,False,Neu
69,apos;s,False,Neu
70,very,False,Neu
71,so,False,Neu
72,countries,False,Neu
73,no,True,Neg
74,us,False,Neu
75,my,False,Neu
76,eu,False,Neu
77,about,False,Neu
78,),False,Neu
79,(,False,Neu
80,other,False,Neu
81,s,False,Neu
82,people,False,Neu
83,only,False,Neu
84,who,False,Neu
85,need,False,Neu
86,new,False,Neu
87,’,False,Neu
88,policy,False,Neu
89,time,False,Neu
90,important,True,Pos
91,:,False,Neu
92,up,False,Neu
93,now,False,Neu
94,?,False,Neu
95,because,False,Neu
96,rights,False,Neu
97,such,False,Neu
98,therefore,False,Neu
99,out,False,Neu
100,am,False,Neu
101,however,False,Neu
102,those,False,Neu
103,–,False,Neu
104,when,False,Neu
105,take,False,Neu
106,support,True,Pos
107,make,False,Neu
108,work,False,Neu
109,some,False,Neu
110,into,False,Neu
111,being,False,Neu
112,between,False,Neu
113,commissioner,False,Neu
114,any,False,Neu
115,committee,False,Neu
116,them,False,Neu
117,political,False,Neu
118,way,False,Neu
119,than,False,Neu
120,first,False,Neu
121,were,False,Neu
122,made,False,Neu
123,many,False,Neu
124,believe,False,Neu
125,development,False,Neu
126,debate,False,Neu
127,proposal,False,Neu
128,say,False,Neu
129,against,False,Neu
130,social,False,Neu
131,issue,False,Neu
132,human,False,Neu
133,economic,False,Neu
134,fact,False,Neu
135,market,False,Neu
136,group,False,Neu
137,even,False,Neu
138,just,False,Neu
139,does,False,Neu
140,well,True,Pos
141,years,False,Neu
142,two,False,Neu
143,public,False,Neu
144,point,False,Neu
145,today,False,Neu
146,country,False,Neu
147,question,False,Neu
148,community,False,Neu
149,right,False,Neu
150,world,False,Neu
151,how,False,Neu
152,want,True,Pos
153,order,False,Neu
154,future,False,Neu
155,directive,False,Neu
156,had,False,Neu
157,state,False,Neu
158,situation,False,Neu
159,most,False,Neu
160,citizens,False,Neu
161,same,False,Neu
162,said,False,Neu
163,year,False,Neu
164,part,False,Neu
165,much,False,Neu
166,agreement,True,Pos
167,could,False,Neu
168,here,False,Neu
169,possible,False,Neu
170,where,False,Neu
171,too,False,Neu
172,think,False,Neu
173,national,False,Neu
174,members,False,Neu
175,international,False,Neu
