,english_tokens,is_polarize,polarity
0,<unk>,False,Neu
1,<pad>,False,Neu
2,.,False,Neu
3,the,False,Neu
4,!,False,Neu
5,",",False,Neu
6,and,False,Neu
7,i,False,Neu
8,this,False,Neu
9,a,False,Neu
10,great,True,Pos
11,:,False,Neu
12,is,False,Neu
13,it,False,Neu
14,&,False,Neu
15,;,False,Neu
16,to,False,Neu
17,of,False,Neu
18,apos,False,Neu
19,for,False,Neu
20,love,True,Pos
21,book,False,Neu
22,best,True,Pos
23,in,False,Neu
24,good,True,Pos
25,s,False,Neu
26,was,False,Neu
27,my,False,Neu
28,you,False,Neu
29,that,False,Neu
30,with,False,Neu
31,very,False,Neu
32,one,False,Neu
33,are,False,Neu
34,quot,False,Neu
35,but,False,Neu
36,movie,False,Neu
37,all,False,Neu
38,on,False,Neu
39,like,True,Pos
40,have,False,Neu
41,as,False,Neu
42,-,False,Neu
43,so,False,Neu
44,read,False,Neu
45,well,True,Pos
46,they,False,Neu
47,be,False,Neu
48,cd,False,Neu
49,ever,False,Neu
50,an,False,Neu
51,really,False,Neu
52,awesome,True,Pos
53,excellent,True,Pos
54,album,False,Neu
55,if,False,Neu
56,not,False,Neu
57,easy,True,Pos
58,has,False,Neu
59,will,False,Neu
60,fun,True,Pos
61,just,False,Neu
62,product,False,Neu
63,story,False,Neu
64,at,False,Neu
65,would,False,Neu
66,these,False,Neu
67,t,False,Neu
68,loved,True,Pos
69,by,False,Neu
70,me,False,Neu
71,music,False,Neu
72,price,False,Neu
73,wonderful,True,Pos
74,time,False,Neu
75,recommend,True,Pos
76,from,False,Neu
77,her,False,Neu
78,his,False,Neu
79,can,False,Neu
80,better,True,Pos
81,nice,True,Pos
82,he,False,Neu
83,works,False,Neu
84,...,False,Neu
85,much,False,Neu
86,perfect,True,Pos
87,she,False,Neu
88,what,False,Neu
89,more,False,Neu
90,amazing,True,Pos
91,out,False,Neu
92,ve,False,Neu
93,we,False,Neu
94,who,False,Neu
95,happy,True,Pos
96,),False,Neu
97,about,False,Neu
98,am,False,Neu
99,books,False,Neu
100,(,False,Neu
101,get,False,Neu
102,than,False,Neu
103,your,False,Neu
104,beautiful,True,Pos
105,enjoy,True,Pos
106,songs,False,Neu
107,favorite,True,Pos
108,first,False,Neu
109,pretty,True,Pos
110,loves,True,Pos
111,definitely,True,Pos
112,m,False,Neu
113,series,False,Neu
114,had,False,Neu
115,its,False,Neu
116,old,False,Neu
117,still,False,Neu
118,some,False,Neu
119,use,False,Neu
120,other,False,Neu
121,or,False,Neu
122,up,False,Neu
123,also,False,Neu
124,buy,False,Neu
125,think,False,Neu
126,anyone,False,Neu
127,do,False,Neu
128,them,False,Neu
129,when,False,Neu
130,work,False,Neu
131,/,False,Neu
132,little,False,Neu
133,greatest,True,Pos
134,there,False,Neu
135,film,False,Neu
136,funny,True,Pos
137,new,False,Neu
138,song,False,Neu
139,any,False,Neu
140,far,False,Neu
141,how,False,Neu
142,worth,True,Pos
143,did,False,Neu
144,made,False,Neu
145,too,False,Neu
146,quality,False,Neu
147,truly,True,Pos
148,way,False,Neu
149,were,False,Neu
150,dvd,False,Neu
151,gift,True,Pos
152,now,False,Neu
153,their,False,Neu
154,fan,True,Pos
155,absolutely,False,Neu
156,got,False,Neu
157,perfectly,True,Pos
158,enjoyed,True,Pos
159,even,False,Neu
160,true,True,Pos
161,most,False,Neu
162,game,False,Neu
163,makes,False,Neu
164,many,False,Neu
165,see,False,Neu
166,because,False,Neu
167,years,False,Neu
168,bought,False,Neu
169,year,False,Neu
170,written,False,Neu
171,every,False,Neu
172,family,False,Neu
