,german_tokens,translated_english_tokens,is_polarize,polarity
0,<unk>,Denmark:,False,Neu
1,<pad>,<pad>,False,Neu
2,.,.,False,Neu
3,",",",",False,Neu
4,!,!,False,Neu
5,ist,is,False,Neu
6,und,and,False,Neu
7,ich,I will speak,False,Neu
8,:,:,False,Neu
9,die,The Council:,True,Neg
10,es,it,False,Neu
11,das,the ;,False,Neu
12,ein,a,False,Neu
13,sie,they:,False,Neu
14,der,or,False,Neu
15,zu,on,False,Neu
16,sehr,very,False,Neu
17,;,;,False,Neu
18,&,&,False,Neu
19,für,to :,False,Neu
20,buch,buch,False,Neu
21,eine,to :,False,Neu
22,liebe,Love,False,Neu
23,in,amount in,False,Neu
24,dieses,this,False,Neu
25,gut,gut,False,Neu
26,war,war,True,Neg
27,von,from :,False,Neu
28,quot,Quot,False,Neu
29,habe,habe,False,Neu
30,diese,these:,False,Neu
31,mit,with,False,Neu
32,aber,but,False,Neu
33,film,film,False,Neu
34,wie,How?,False,Neu
35,beste,Best,False,Neu
36,sind,are:,False,Neu
37,den,the,False,Neu
38,so,so,False,Neu
39,auf,on,False,Neu
40,apos,apos,False,Neu
41,nicht,Not,False,Neu
42,-,-2.,False,Neu
43,was,was,False,Neu
44,dass,that,False,Neu
45,wenn,if:,False,Neu
46,großartig,great,False,Neu
47,wirklich,Really,False,Neu
48,als,as,False,Neu
49,besten,Best,False,Neu
50,tolle,tolle,False,Neu
51,auch,also,False,Neu
52,hat,hat,False,Neu
53,cd,CD,False,Neu
54,dieser,This,False,Neu
55,sich,sich,False,Neu
56,einfach,Simple,False,Neu
57,gute,gute,False,Neu
58,the,the,False,Neu
59,einen,A,False,Neu
60,haben,have:,False,Neu
61,album,album,False,Neu
62,großer,large,False,Neu
63,lieben,lieben,False,Neu
64,dies,dies,False,Neu
65,werden,will,False,Neu
66,lesen,reading,False,Neu
67,alle,all,False,Neu
68,meine,meine,False,Neu
69,diesen,and,False,Neu
70,mein,mein,False,Neu
71,um,um,False,Neu
72,viel,much,False,Neu
73,great,great,True,Pos
74,bin,bin,False,Neu
75,einem,an,False,Neu
76,er,he,False,Neu
77,des,from :,False,Neu
78,einer,one,False,Neu
79,noch,still,False,Neu
80,mich,mich,False,Neu
81,produkt,product,False,Neu
82,geschichte,History,False,Neu
83,toll,toll,False,Neu
84,dem,the,False,Neu
85,and,and,False,Neu
86,tolles,tolles,False,Neu
87,große,groÃe,False,Neu
88,),b.,False,Neu
89,perfekt,perfekt,False,Neu
90,an,to,False,Neu
91,sein,to be,False,Neu
92,diesem,this,False,Neu
93,ihre,their,False,Neu
94,wir,we will do it,False,Neu
95,aus,from,False,Neu
96,wird,will,False,Neu
97,funktioniert,funktioniert,False,Neu
98,kann,may:,False,Neu
99,s,s,False,Neu
100,musik,musik,False,Neu
101,spaß,Fun,False,Neu
102,schön,nice,False,Neu
103,zum,- On the .,False,Neu
104,nur,only,False,Neu
105,über,on,False,Neu
106,room,Room,False,Neu
107,clean,Clean,True,Pos
108,gutes,Good,False,Neu
109,immer,always,False,Neu
110,(,(,False,Neu
111,empfehle,recommend,False,Neu
112,macht,Power,False,Neu
